zip_code,post_office_city,state,state_code,area_code
501,Holtsville,New York,NY,631
544,Holtsville,New York,NY,631
1001,Agawam,Massachusetts,MA,413
1002,Amherst,Massachusetts,MA,413
1003,Amherst,Massachusetts,MA,413
1004,Amherst,Massachusetts,MA,413
1007,Belchertown,Massachusetts,MA,413
1008,Blandford,Massachusetts,MA,413
1009,Bondsville,Massachusetts,MA,413
1010,Brimfield,Massachusetts,MA,413
1012,Chesterfield,Massachusetts,MA,413
1013,Chicopee,Massachusetts,MA,413
1014,Chicopee,Massachusetts,MA,413
1020,Chicopee,Massachusetts,MA,413
1021,Chicopee,Massachusetts,MA,413
1022,Chicopee,Massachusetts,MA,413
1026,Cummington,Massachusetts,MA,413
1027,Easthampton,Massachusetts,MA,413
1028,East Longmeadow,Massachusetts,MA,413
1029,East Otis,Massachusetts,MA,413
1030,Feeding Hills,Massachusetts,MA,413
1032,Goshen,Massachusetts,MA,413
1033,Granby,Massachusetts,MA,413
1034,Granville,Massachusetts,MA,413
1035,Hadley,Massachusetts,MA,413
1036,Hampden,Massachusetts,MA,413
1038,Hatfield,Massachusetts,MA,413
1040,Holyoke,Massachusetts,MA,413
1041,Holyoke,Massachusetts,MA,413
1053,Leeds,Massachusetts,MA,413
1056,Ludlow,Massachusetts,MA,413
1057,Monson,Massachusetts,MA,413
1059,North Amherst,Massachusetts,MA,413
1060,Northampton,Massachusetts,MA,413
1061,Northampton,Massachusetts,MA,413
1062,Florence,Massachusetts,MA,413
1063,Northampton,Massachusetts,MA,413
1066,North Hatfield,Massachusetts,MA,413
1069,Palmer,Massachusetts,MA,413
1070,Plainfield,Massachusetts,MA,413
1071,Russell,Massachusetts,MA,413
1073,Southampton,Massachusetts,MA,413
1074,South Barre,Massachusetts,MA,351
1075,South Hadley,Massachusetts,MA,413
1077,Southwick,Massachusetts,MA,413
1079,Thorndike,Massachusetts,MA,413
1080,Three Rivers,Massachusetts,MA,413
1081,Wales,Massachusetts,MA,413
1082,Ware,Massachusetts,MA,413
1085,Westfield,Massachusetts,MA,413
1086,Westfield,Massachusetts,MA,413
1088,West Hatfield,Massachusetts,MA,413
1089,West Springfield,Massachusetts,MA,413
1090,West Springfield,Massachusetts,MA,413
1095,Wilbraham,Massachusetts,MA,413
1096,Williamsburg,Massachusetts,MA,413
1097,Woronoco,Massachusetts,MA,413
1098,Worthington,Massachusetts,MA,413
1101,Springfield,Massachusetts,MA,413
1102,Springfield,Massachusetts,MA,413
1103,Springfield,Massachusetts,MA,413
1104,Springfield,Massachusetts,MA,413
1105,Springfield,Massachusetts,MA,413
1106,Longmeadow,Massachusetts,MA,413
1107,Springfield,Massachusetts,MA,413
1108,Springfield,Massachusetts,MA,413
1109,Springfield,Massachusetts,MA,413
1111,Springfield,Massachusetts,MA,413
1115,Springfield,Massachusetts,MA,413
1116,Longmeadow,Massachusetts,MA,413
1118,Springfield,Massachusetts,MA,413
1119,Springfield,Massachusetts,MA,413
1128,Springfield,Massachusetts,MA,413
1129,Springfield,Massachusetts,MA,413
1138,Springfield,Massachusetts,MA,413
1139,Springfield,Massachusetts,MA,413
1144,Springfield,Massachusetts,MA,413
1151,Indian Orchard,Massachusetts,MA,413
1152,Springfield,Massachusetts,MA,413
1199,Springfield,Massachusetts,MA,413
1201,Pittsfield,Massachusetts,MA,413
1202,Pittsfield,Massachusetts,MA,413
1203,Pittsfield,Massachusetts,MA,413
1220,Adams,Massachusetts,MA,413
1222,Ashley Falls,Massachusetts,MA,413
1223,Becket,Massachusetts,MA,413
1224,Berkshire,Massachusetts,MA,413
1225,Cheshire,Massachusetts,MA,413
1226,Dalton,Massachusetts,MA,413
1227,Dalton,Massachusetts,MA,413
1229,Glendale,Massachusetts,MA,413
1230,Great Barrington,Massachusetts,MA,413
1236,Housatonic,Massachusetts,MA,413
1237,Lanesboro,Massachusetts,MA,413
